bank_id,card_number,card_type,expiry_date,balance
1,7597786792981711,Visa,10/30,840.57
1,7521983473709835,AmEx,11/29,3689.56
2,1287362641521059,MasterCard,12/28,2686.04
2,2021813081862273,Visa,08/25,4506.06
2,1138627570229528,Visa,12/29,1445.49
2,1132761069445315,Visa,10/28,1999.75
4,0222652856937638,Visa,12/29,461.26
4,5062658324257779,AmEx,01/27,1614.98
4,5721606121090533,AmEx,10/28,1706.61
5,3246691461141578,MasterCard,10/30,1624.7
5,1467944453795634,AmEx,06/25,2517.51
5,4283901689941170,Visa,12/24,1954.36
5,4090547948706217,MasterCard,09/30,2002.12
5,3862977962309634,AmEx,07/30,2722.38
6,9945719295206252,Visa,02/29,4245.41
6,7578383191488763,Visa,04/27,3335.88
6,5668761689450587,AmEx,09/23,877.14
6,6536170740299221,Visa,02/24,3316.52
6,9211718884234177,Visa,11/28,4305.58
6,3357337661234783,Visa,07/29,2240.76
7,1915804359730846,Visa,04/23,593.87
7,9181191190254000,AmEx,11/27,4995.18
7,5562423621374026,Visa,08/26,4591.91
7,2167812430948925,Visa,04/26,1408.59
8,3544517959932683,AmEx,04/30,860.01
8,8102568788383296,MasterCard,02/30,4057.4
8,9076873379264016,MasterCard,03/24,2363.41
8,1524951301869098,MasterCard,03/23,1626.91
8,8768215569827576,Visa,12/23,2326.15
8,0580983766588798,MasterCard,06/26,3640.9
9,1228622833715076,MasterCard,04/24,261.12
9,8495405200488563,AmEx,02/27,2244.11
10,5204521669276388,AmEx,12/23,597.2
10,4265858150032954,Visa,11/23,3385.08
10,7399246836981795,Visa,04/25,4015.85
10,5176615335223178,AmEx,12/25,554.81
11,5111296711899608,AmEx,02/27,180.39
11,9920186742647081,AmEx,11/24,196.79
11,9124325545141029,AmEx,11/26,1538.47
12,4280588789593763,MasterCard,12/29,4557.39
12,6553715864876084,Visa,03/29,1133.79
12,8501050655639895,MasterCard,04/27,3067.15
13,0021340837149615,MasterCard,06/27,4555.0
13,4282366510390132,AmEx,06/30,2476.89
13,9987413927610046,MasterCard,10/27,4118.24
15,8433902721649512,MasterCard,12/28,2598.15
15,8905462273276588,AmEx,07/25,716.07
15,9731914299295724,AmEx,10/30,3567.55
15,3676074975078239,Visa,03/29,699.22
15,3704189300264954,AmEx,11/30,675.64
16,3880861106509449,Visa,11/27,1232.87
17,9684563438117922,MasterCard,02/30,3740.52
17,9434898529112794,MasterCard,12/23,3711.78
19,1814328834577705,Visa,06/30,1808.97
19,5088237073475797,Visa,07/29,455.74
20,0805679602260131,AmEx,05/26,4083.17
20,9979839369244341,Visa,03/23,1805.76
