bank_id,username,password,ssn,email
1,admin,admin,000-00-0000,admin@bankapp.com
2,hgreenrod,gre_9848,739-67-1645,hgreenrod0@cmu.edu
3,kdillway,dil_8627,433-41-3781,kdillway1@about.com
4,imcshee,mcs_7171,730-30-3624,imcshee2@technorati.com
5,ccanham,can_7445,431-19-7101,ccanham3@blogs.com
6,kmeenehan,mee_8778,690-28-4647,kmeenehan4@time.com
7,hwhinney,whi_5490,622-93-8008,hwhinney5@cocolog-nifty.com
8,bkendal,ken_2113,498-51-5531,bkendal6@blog.com
9,kbeddard,bed_6456,438-76-3307,kbeddard7@ftc.gov
10,mrustman,rus_8827,846-23-5675,mrustman8@java.com
11,nbranwhite,bra_2334,495-67-1487,nbranwhite9@epa.gov
12,htambling,tam_3417,384-26-5237,htamblinga@fc2.com
13,flohan,loh_3694,275-92-3329,flohanb@canalblog.com
14,ncollcott,col_8317,484-43-7249,ncollcottc@discovery.com
15,sbrigshaw,bri_2481,444-13-5894,sbrigshawd@typepad.com
16,ahargie,har_6499,179-83-4603,ahargiee@deviantart.com
17,cscholey,sch_1634,411-65-3003,cscholeyf@squidoo.com
18,mvillaret,vil_6707,737-76-1202,mvillaretg@arizona.edu
19,cinglesant,ing_3532,696-99-8108,cinglesanth@nymag.com
20,rten broek,ten_8520,710-14-9393,rtenbroeki@mashable.com
21,smarshfield,mar_9191,173-43-8239,smarshfieldj@mac.com
